                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83677,                0.65455,                0.80555,                0.76338,                0.67188,                 0.7509,                0.56742,                0.79652,                0.68786,                0.80276,             6.6667e-05,             6.6667e-05,             6.6667e-05
                     36,                0.83741,                0.65234,                 0.8072,                0.77102,                 0.6774,                0.75519,                0.57078,                 0.7979,                0.67752,                0.80443,             6.2628e-05,             6.2628e-05,             6.2628e-05
                     37,                0.81862,                0.62483,                0.80501,                0.78333,                0.67989,                0.76369,                0.57694,                0.79681,                0.66666,                0.80507,             5.8589e-05,             5.8589e-05,             5.8589e-05
                     38,                0.82775,                0.62899,                0.80419,                0.77364,                0.68041,                0.76637,                 0.5772,                0.79649,                0.65945,                0.80337,              5.455e-05,              5.455e-05,              5.455e-05
                     39,                0.82018,                0.61202,                0.80486,                0.77234,                0.68992,                0.76441,                0.57673,                0.79472,                0.65716,                0.80424,              5.051e-05,              5.051e-05,              5.051e-05
                     40,                0.83162,                0.61791,                0.80487,                0.76972,                0.70057,                0.76874,                0.58348,                0.79079,                0.65256,                0.80352,             4.6471e-05,             4.6471e-05,             4.6471e-05
                     41,                0.79161,                0.54365,                0.80276,                 0.8024,                0.66741,                 0.7692,                0.58221,                0.78914,                0.65843,                0.80335,             4.2432e-05,             4.2432e-05,             4.2432e-05
                     42,                0.78023,                0.53345,                  0.799,                0.76806,                0.71086,                 0.7704,                0.58181,                 0.7943,                0.65725,                0.80356,             3.8393e-05,             3.8393e-05,             3.8393e-05
                     43,                 0.7777,                0.52226,                0.79857,                 0.7659,                0.70492,                0.77048,                0.58184,                0.78942,                0.65586,                0.80322,             3.4354e-05,             3.4354e-05,             3.4354e-05
                     44,                0.77287,                0.51649,                 0.7994,                0.78774,                0.68669,                0.77119,                0.58508,                0.78744,                0.65293,                 0.8028,             3.0314e-05,             3.0314e-05,             3.0314e-05
                     45,                0.77314,                0.51743,                0.79944,                0.78753,                0.69783,                0.77565,                0.58494,                0.78894,                 0.6473,                0.80298,             2.6275e-05,             2.6275e-05,             2.6275e-05
                     46,                0.76937,                0.50657,                0.79699,                0.78996,                0.70314,                0.77606,                0.58639,                0.78763,                0.64995,                0.80285,             2.2236e-05,             2.2236e-05,             2.2236e-05
                     47,                 0.7604,                0.49495,                0.79823,                0.77701,                 0.7056,                0.77632,                0.58717,                0.78596,                0.65284,                0.80268,             1.8197e-05,             1.8197e-05,             1.8197e-05
                     48,                 0.7607,                0.49371,                0.79587,                0.77538,                0.70829,                0.78051,                  0.592,                0.78263,                0.64331,                0.80275,             1.4158e-05,             1.4158e-05,             1.4158e-05
                     49,                0.75321,                0.48095,                0.79992,                0.78944,                0.69844,                0.78058,                0.59119,                 0.7845,                 0.6461,                0.80249,             1.0118e-05,             1.0118e-05,             1.0118e-05
                     50,                0.76009,                0.48462,                0.79904,                0.78198,                0.70477,                0.78219,                0.59228,                0.78318,                0.64541,                0.80249,             6.0792e-06,             6.0792e-06,             6.0792e-06
